Covers,CBS,Odds Shark,ESPN,SR Url
L-IL,LOYCHI,Loyola-Chicago,Loyola Chicago Ramblers,loyola-il
L-MD,LOYMD,Loyola-Maryland,Loyola (MD) Greyhounds,loyola-md
LAF,LAFAY,Lafayette,Lafayette Leopards,lafayette
LAM,LAMAR,Lamar,Lamar Cardinals,lamar
LAS,LSALLE,La Salle,La Salle Explorers,la-salle
LBSU,LNGBCH,Long Beach State,Long Beach State Beach,long-beach-state
LEH,LEHIGH,Lehigh,Lehigh Mountain Hawks,lehigh
LIB,LIB,Liberty,Liberty Flames,liberty
LIP,LPSCMB,Lipscomb,Lipscomb Bisons,lipscomb
LIU,LIU,LIU,Long Island University Sharks,long-island-university
LMU,LOYMRY,Loyola Marymount,Loyola Marymount Lions,loyola-marymount
LNDNWD,LINDEN,Lindenwood,Lindenwood Lions,lindenwood
LONG,LONGWD,Longwood,Longwood Lancers,longwood
LOU,LVILLE,Louisville,Louisville Cardinals,louisville
LSU,LSU,LSU,LSU Tigers,louisiana-state
LT,LATECH,Louisiana Tech,Louisiana Tech Bulldogs,louisiana-tech
M-OH,MIAOH,Miami-Ohio,Miami (OH) Redhawks,miami-oh
MAN,MANH,Manhattan,Manhattan Jaspers,manhattan
MARQ,MARQET,Marquette,Marquette Golden Eagles,marquette
MASS,UMASS,UMass,UMass Minutemen,massachusetts
MCNS,MCNSE,McNeese State,McNeese Cowboys,mcneese-state
MD,MD,Maryland,Maryland Terrapins,maryland
ME,MAINE,Maine,Maine Black Bears,maine
MEM,MEMP,Memphis,Memphis Tigers,memphis
MER,MERCER,Mercer,Mercer Bears,mercer
MIA,MIAMI,Miami,Miami Hurricanes,miami-fl
MICH,MICH,Michigan,Michigan Wolverines,michigan
MILW,MILW,Wisconsin-Milwaukee,Milwaukee Panthers,milwaukee
MINN,MINN,Minnesota,Minnesota Golden Gophers,minnesota
MISS,MISS,Mississippi - Ole Miss,Ole Miss Rebels,mississippi
MIZZ,MIZZOU,Missouri,Missouri Tigers,missouri
MONM,MNMTH,Monmouth,Monmouth Hawks,monmouth
MONT,MNTNA,Montana,Montana Grizzlies,montana
